event,fight,fighter1,fighter2
"

  UFC Fight Night: Strickland vs. Imavov

   ",<200 http://ufcstats.com/fight-details/868c83e734dbbceb>,http://ufcstats.com/fighter-details/0d8011111be000b2,http://ufcstats.com/fighter-details/881bf86d4cba8578
"

  UFC Fight Night: Strickland vs. Imavov

   ",<200 http://ufcstats.com/fight-details/c88a7dbe7717d2da>,http://ufcstats.com/fighter-details/82a5152216251682,http://ufcstats.com/fighter-details/29af297d9f1de0f8
"

  UFC Fight Night: Strickland vs. Imavov

   ",<200 http://ufcstats.com/fight-details/d4420be78065de03>,http://ufcstats.com/fighter-details/64facb6cc564262d,http://ufcstats.com/fighter-details/9d83f6da776ff7d6
"

  UFC Fight Night: Strickland vs. Imavov

   ",<200 http://ufcstats.com/fight-details/622cc4ef46913020>,http://ufcstats.com/fighter-details/b9706f80d005036c,http://ufcstats.com/fighter-details/fc169c387b4b465d
"

  UFC Fight Night: Strickland vs. Imavov

   ",<200 http://ufcstats.com/fight-details/a4c7d59d340794c0>,http://ufcstats.com/fighter-details/2b6fc1c02736833d,http://ufcstats.com/fighter-details/b9f28e7045fdfce7
"

  UFC Fight Night: Strickland vs. Imavov

   ",<200 http://ufcstats.com/fight-details/5a2fa552e70958d4>,http://ufcstats.com/fighter-details/bbab3baf66128ae2,http://ufcstats.com/fighter-details/48812daf291a4e23
"

  UFC Fight Night: Strickland vs. Imavov

   ",<200 http://ufcstats.com/fight-details/5305049e4215d263>,http://ufcstats.com/fighter-details/972c456ff38b2015,http://ufcstats.com/fighter-details/eae431e70064e046
"

  UFC Fight Night: Strickland vs. Imavov

   ",<200 http://ufcstats.com/fight-details/76b6058cddda9238>,http://ufcstats.com/fighter-details/849c5d9979df5357,http://ufcstats.com/fighter-details/036e96c1c12b8a59
"

  UFC Fight Night: Strickland vs. Imavov

   ",<200 http://ufcstats.com/fight-details/c9144a294c73b06f>,http://ufcstats.com/fighter-details/253076a23d03dcd0,http://ufcstats.com/fighter-details/798e48f9e7f6ba22
"

  UFC Fight Night: Strickland vs. Imavov

   ",<200 http://ufcstats.com/fight-details/9f09e77e46f15766>,http://ufcstats.com/fighter-details/e4ba58725825412d,http://ufcstats.com/fighter-details/0978385b2bd9ef9b
"

  UFC Fight Night: Strickland vs. Imavov

   ",<200 http://ufcstats.com/fight-details/b6723b9c6ff4d594>,http://ufcstats.com/fighter-details/814e5233e2acf2ee,http://ufcstats.com/fighter-details/09e62c450e754913
